,DocNum,DocContent
57,58,"[""Javed Akhtar came on board as co-writer, and Prakash Mehra, who saw the script as potentially groundbreaking, as the film's director."", 'Former Australian cricket team coach John Buchanan voiced his opinion that Tendulkar had become susceptible to the short ball early in his innings because of a lack of footwork.', 'Modi remained only a short time at each, since he lacked the required college education.', 'For example, he donated ₹1.1\xa0million to clear the debts of nearly 40 beleaguered farmers in Andhra Pradesh and ₹3\xa0million to clear the debts of some 100 Vidarbha farmers.', 'According to Raja Sen of Rediff.com, ""Amitabh Bachchan, a retired lawyer suffering from bipolar disorder, takes up cudgels on behalf of the girls, delivering courtroom blows with pugilistic grace.', 'Mumbai eventually piled on 645/9 and won on 1st innings lead.', 'The Modi government imposed a curfew in 26 major cities, issued shoot-at-sight orders and called for the army to patrol the streets, but was unable to prevent the violence from escalating.', 'So total was his dominance on the Indian movie scene in the 1970s and 1980s that the French director François Truffaut called him a ""one-man industry"".', 'Modi himself was a candidate for the Lok Sabha in two constituencies: Varanasi and Vadodara.', 'Their creative development was also facilitated by Martin\'s willingness to experiment in response to their suggestions, such as adding ""something baroque"" to a particular recording.']"
58,59,"['Modi has relied upon his reputation as a politician able to bring about economic growth and ""development"".', ""The RSS provided organisational support to the BJP's electoral campaigns, while the Modi administration appointed a number of individuals affiliated with the RSS to prominent government positions."", 'So he is heading the ambassador position of the ICC Cricket world cup in consecutive terms of the cricket world cup (2011 and 2015).', 'However, India lost the series.', 'Well known Indian critic Rajeev Masand wrote on his website, ""Bachchan is pretty terrific as Bhashkor, who reminds you of that oddball uncle that you nevertheless have a soft spot for.', ""Ravi Shankar, with whom Harrison studied for six weeks in India in late 1966, had a significant effect on his musical development during the band's later years."", 'He received positive reviews from critics who hailed his performance as his best ever since Black.', 'The NSCM and the government had agreed to a ceasefire in 1997, but a peace accord had not previously been signed.', ""Bachchan's portrayal of the wronged hero fighting a crooked system and circumstances of deprivation in films like Zanjeer, Deeewar, Trishul, Kaala Patthar and Shakti resonated with the masses of the time, especially the youth who harboured a simmering discontent owing to social ills such as poverty, hunger, unemployment, corruption, social inequality and the brutal excesses of The Emergency."", 'With the exception of the delayed release of Insaniyat (1994), which was also a box office failure, Bachchan did not appear in any new releases for five years.']"
59,60,"['Following the series, Warne ruefully joked that he was having nightmares about his Indian nemesis.', 'Bachchan then played the leading role in the film Majboor.', 'Over the decade from 2001 to 2011, Gujarat did not change its position relative to the rest of the country with respect to poverty and female literacy, remaining near the median of the 29 Indian states.', 'However, they were struggling to find an actor for the lead ""angry young man"" role; it was turned down by a number of actors, owing to it going against the ""romantic hero"" image dominant in the industry at the time.', 'During his 2012 campaign he twice refused to wear articles of clothing gifted by Muslim leaders.', 'Of the 1.25 million shares put up for sale, Harrison and Starr each acquired 40,000.', 'The government also lowered corporate taxes, abolished the wealth tax, increased sales taxes, and reduced customs duties on gold, and jewellery.', 'He then scored 106 in the first innings of the second Test, which was his 47th hundred in Test cricket.', 'In 1997, Bachchan attempted to make his acting comeback with the film Mrityudata, produced by ABCL.', 'In 2014, he debuted in the fictional Sony Entertainment Television TV series titled Yudh playing the lead role of a businessman battling both his personal and professional life.']"
60,61,"['His first acting role was as one of the seven protagonists in the film Saat Hindustani, directed by Khwaja Ahmad Abbas and featuring Utpal Dutt, Anwar Ali (brother of comedian Mehmood), Madhu and Jalal Agha.', 'We became very aware of not being seen, of just being there like ants.', 'The third single by the Stones, Buddy Holly\'s ""Not Fade Away"", reflecting Bo Diddley\'s style, was released in February 1964 and reached No.', 'His performance was unanimously praised by critics and audiences and won him his second National Film Award for Best Actor, his fourth Filmfare Best Actor Award and his second Filmfare Critics Award for Best Actor.', 'Summarising academic views on the subject, Martha Nussbaum said: ""There is by now a broad consensus that the Gujarat violence was a form of ethnic cleansing, that in many ways it was premeditated, and that it was carried out with the complicity of the state government and officers of the law.""', 'Described as engineering a political realignment towards right-wing politics, Modi remains a figure of controversy domestically and internationally over his Hindu nationalist beliefs and his role during the 2002 Gujarat riots, cited as evidence of an exclusionary social agenda.', 'The music video for ""Doom and Gloom"" featuring Noomi Rapace was released on 20 November.', 'The nomination of Modi for the prime ministership drew attention to his reputation as ""one of contemporary India\'s most controversial and divisive politicians.""', 'Former Australian cricket team coach John Buchanan voiced his opinion that Tendulkar had become susceptible to the short ball early in his innings because of a lack of footwork.', 'The Rolling Stones are an English rock band formed in London in 1962.']"
61,62,"['Albert and David Maysles documented part of the tour and the Altamont concert in their film Gimme Shelter.', 'In his travels during the Emergency, Modi was often forced to move in disguise, once dressing as a monk, and once as a Sikh.', 'A review in Daily News and Analysis (DNA) summarised Bachchan\'s performance as ""The heart and soul of Piku clearly belong to Amitabh Bachchan who is in his elements.', ""Initially, Oldham tried applying the strategy used by Brian Epstein, the Beatles' manager, and have the band members wear suits."", 'In June of that year, the Rolling Stones released, Totally Stripped, an expanded and reconceived edition of Stripped, in multiple formats.', ""In 2012, Tendulkar was ranked number 8 in Outlook India's poll of the Greatest Indian."", 'Modi led the BJP in the 2014 general election which gave the party a majority in the Indian lower house of parliament, the Lok Sabha, the first time for any single party since 1984.', 'His later releases in 2006 and early 2007 were Baabul (2006), Ekalavya and Nishabd (2007), which failed to do well at the box office but his performances in each of them were praised by critics.', 'Following his second swearing-in ceremony as Prime Minister of India, a picture of Modi was displayed on the facade of the ADNOC building in Abu Dhabi, United Arab Emirates.', '2 in the UK, No.']"
62,63,"['On 2 October 2014, Modi launched the Swachh Bharat Mission (""Clean India"") campaign.', 'The tour gave the band the opportunity to hone their stagecraft.', 'The Times ran the famous editorial entitled ""Who breaks a butterfly upon a wheel?""', 'Bachchan was performing his own stunts in the film and one scene required him to fall onto a table and then on the ground.', 'Jagger got good reviews and sales with his third solo album, Wandering Spirit which reached No.', 'The government also announced plans to build new sewage treatment plants.', 'Well known Indian critic Rajeev Masand wrote on his website, ""Bachchan is pretty terrific as Bhashkor, who reminds you of that oddball uncle that you nevertheless have a soft spot for.', 'A tennis elbow injury then took its toll on Tendulkar, leaving him out of the side for most of the year, coming back only for the last two Tests when Australia toured India in 2004.', 'Commentators have suggested, however, that the violence was perpetrated by radical Hindu nationalists to undercut the authority of Modi.', '1 in the US.']"
63,64,"['1 decades after it was first released.', 'The company went into administration and was later declared a failed company by the Indian Industries board.', 'It was well received at the time of release and reached No.', 'In later by-elections the BJP won four more assembly seats and two Lok Sabha seats held by the INC, although Modi did not campaign for its candidates.', 'The healthcare budget for the following year rose by 19%.', 'He also practices left-handed throws at the nets on a regular basis.', 'Jagger and Richards were tried at the end of June.', 'Amitabh was required to use his singing voice for the first time in a song from the film Mr. Natwarlal in which he starred with Rekha.', 'Oldham, who had no recording experience but made himself the band\'s producer, said Regent had a sound that ""leaked, instrument-to-instrument, the right way"" creating a ""wall of noise"" that worked well for the band.', 'In 2015, Modi was ranked the 13th Most Influential Person in the World by Bloomberg Markets Magazine.']"
64,65,"['I was not thinking about the milestone, the media started all this, wherever I went, the restaurant, room service, everyone was talking about the 100th hundred.', 'Sometime in late 1969 or early 1970, Modi returned to Vadnagar for a brief visit before leaving again for Ahmedabad.', 'It would have been inappropriate, said Desai, for the man who had just fended off death in real life to be killed on screen.', 'The administration plans to construct 60 million toilets by 2019.', ""The band's shows were not advertised to the public."", 'In early 1981, the group reconvened and decided to tour the US that year, leaving little time to write and record a new album, as well as rehearse for the tour.', 'The budgetary allocation for the Sarva Shiksha Abhiyan, or the ""education for all"" programme, declined by 22%.', 'Bachchan was born in Allahabad.', 'He conducted approximately fifty hours of interviews for the film, including extensive interviews with Wyman and Taylor.', 'The Rolling Stones are an English rock band formed in London in 1962.']"
65,66,"['Despite opposition from the election commissioner, who said that a number of voters were still displaced, Modi succeeded in advancing the election to December 2002.', 'Tendulkar said that he was disappointed and that the declaration had taken him by surprise.', 'Critic Sean Egan has said of the logo, ""Without using the Stones\' name, it instantly conjures them, or at least Jagger, as well as a certain lasciviousness that is the Stones\' own ...', 'Sixty of the 112 tehsils which had depleted the water table in 2004 had regained their normal groundwater levels by 2010.', 'Nigel Finch produced a BBC documentary film The Rolling Stones in Morocco.', 'Tendulkar spent his formative years in the Sahitya Sahawas Cooperative Housing Society in Bandra (East).', ""On 20 January 1987, he also turned out as substitute for Imran Khan's side in an exhibition game at Brabourne Stadium in Bombay, to mark the golden jubilee of Cricket Club of India."", 'The government also passed a bill increasing the control that it had over the appointment of judges, and reducing that of the judiciary.', 'In 2016, he appeared in the women-centric courtroom drama film Pink which was highly praised by critics and with an increasingly good word of mouth, was a resounding success at the domestic and overseas box office.', ""Foreign policy played a relatively small role in Modi's election campaign, and did not feature prominently in the BJP's election manifesto.""]"
66,67,"['In the following ODI series against Sri Lanka, Tendulkar was sidelined due to injury.', 'Modi had an early gift for rhetoric in debates, and his teachers and students noted this.', 'He was again sworn in as Prime minister on 30 May 2019.', 'On 7 April, they visited the Ealing Jazz Club where they met the members of Blues Incorporated, who included slide guitarist Brian Jones, keyboardist Ian Stewart and drummer Charlie Watts.', 'Modi has also been called a fashion-icon for his signature crisply ironed, half-sleeved kurta, as well as for a suit with his name embroidered repeatedly in the pinstripes that he wore during a state visit by US President Barack Obama, which drew public and media attention and criticism.', ""Before the Indian cricket team's tour of Sri Lanka in July 2008, Tendulkar needed 177 runs to go past Brian Lara's record of Test 11,953 runs."", 'Tendulkar convinced Azharuddin to bat and Azharuddin subsequently unleashed 24 runs off one over.', 'In the 2012 Gujarat Legislative Assembly elections, Modi won the constituency of Maninagar by 86,373 votes over Shweta Bhatt, the INC candidate and wife of Sanjiv Bhatt.', 'His mother had a keen interest in theatre and was offered a feature film role, but she preferred her domestic duties.', 'Jones, no longer in a band, advertised for bandmates in Jazz Weekly, while Stewart found them a practice space; together they decided to form a band playing Chicago blues.']"
67,68,"['The BJP election manifesto had also promised to deal with illegal immigration into India in the Northeast, as well as to be more firm in its handling of insurgent groups.', '1 in both the UK and US.', 'In the early summer of 1968, Modi reached the Belur Math but was turned away, after which Modi wandered through Calcutta, West Bengal and Assam, stopping in Siliguri and Guwahati.', 'Following Parwana were several films including Reshma Aur Shera (1971).', 'In addition, Modi lifted a moratorium on new industrial activity in the most polluted areas in the countries.', 'Tendulkar was dismissed seven times in 2007 between 90 and 100, including three times at 99, leading some to suggestions that he struggles to cope with nervousness in this phase of his innings.', 'Pallenberg was unable to curb her heroin addiction as Richards struggled to get clean.', ""This was Tendulkar's sixth century in a final of an ODI tournament and his third consecutive score of over 50 in such finals."", 'Following poor performance in the 2012 series against England, Tendulkar announced his retirement from One Day Internationals on 23 December 2012, while noting that he will be available for Test cricket.', 'Modi was barred from entering the United States by the State Department, in accordance with the recommendations of the Commission on International Religious Freedom formed under the aegis of the International Religious Freedom Act, the only person denied a US visa under this law.']"
68,69,"['His administration also introduced the Citizenship Amendment Act, which resulted in widespread protests across the country.', 'He appears to show little preference for the slow and low wickets which are typical in India, and has scored many centuries on the hard, bouncy pitches in South Africa and Australia.', 'He also made an unbeaten century in the Irani Trophy match against Delhi at the start of the 1989–90 season, playing for the Rest of India.', 'Stewart was removed from the official line-up in 1963 but continued to work with the band as a contracted musician until his death in 1985.', 'Despite this, the Rolling Stones continue to be a huge attraction on the live circuit.', 'He is widely regarded as one of the greatest batsmen in the history of cricket.', '100,000 people had signed up by October 2018.', 'In March 2008, the Supreme Court reopened several cases related to the 2002 riots, including that of the Gulbarg Society massacre, and established a Special Investigation Team (SIT) to look into the issue.', 'It performed particularly well in parts of the country that had recently experienced violence between Hindus and Muslims.', 'Other releases during that year included Nastik, Andha Kanoon (in which he had an extended guest appearance) which were hits and Pukar was an average grosser During a stint in politics from 1984 to 1987, his completed films Mard (1985) and Aakhree Raasta (1986) were released and were major hits.']"
69,70,"['It met with mixed reviews, reaching No.', ""In the second Test at Port of Spain, Sachin Tendulkar scored 117 in the first innings, his 29th Test century in his 93rd Test match, to equal Sir Donald Bradman's record of 29 Test hundreds."", 'They stabbed and beat an audience member, Meredith Hunter to death.', 'It subsumed around 17 different taxes and became effective from 1 July 2017.', 'As part of the programme, the Indian government began constructing millions of toilets in rural areas and encouraging people to use them.', 'He was the Chief Minister of Gujarat from 2001 to 2014 and is the Member of Parliament for Varanasi.', 'He became the first person in history to achieve this feat, which was also his first ODI hundred against Bangladesh.', 'In 2000, Bachchan hosted the first season of Kaun Banega Crorepati (KBC), the Indian adaptation of the British television game show, Who Wants to Be a Millionaire?.', 'He moved in with his aunt and uncle, who lived near Shivaji Park, during this period, due to his hectic schedule.', ""The military budget declined over Modi's tenure both as a fraction of GDP and when adjusted for inflation.""]"
70,71,"['He also entered politics for a time in the 1980s.', 'Lennon described the experience: ""It was just terrifying, but it was fantastic.', '4 in India in Tests.""', 'He won the title of ""Asia\'s Sexiest Vegetarian"" in a contest poll run by PETA Asia.', 'Various national and international figures from cricket, politics, Bollywood and other fields spoke about him in a day-long Salaam Sachin Conclave organised by India Today.', 'All of them were successful at the box office.', ""Since then Tendulkar's batting has tended to be less attacking."", 'Recording took place in British Grove Studios, London, in December 2015, and featured Eric Clapton on two tracks.', 'Bachchan was slated to play a supporting role in his first international film, Shantaram, directed by Mira Nair and starring Hollywood actor Johnny Depp in the lead.', '2 in the UK and No.']"
71,72,"['South Africa toured in March and April 2008 for a three-Test series.', 'Tendulkar, however, won the player of the series award as well as player of the match in one of the games.', 'He later attended Kirori Mal College, University of Delhi.', 'At the end of the decade the band appeared on the BBC\'s review of the sixties music scene Pop Go the Sixties, performing ""Gimme Shelter"", which was broadcast live on 31 December 1969.', 'That same year McCartney, Harrison and Starr collaborated on the Anthology project.', 'His mother, Teji Bachchan, was a social activist and Punjabi Sikh woman from Lyallpur, Punjab, British India (present-day Faisalabad, Punjab, Pakistan).', 'It would have been inappropriate, said Desai, for the man who had just fended off death in real life to be killed on screen.', 'The song was written and given to the Stones when John Lennon and Paul McCartney visited them in the studio as the two Beatles liked giving the copyrights to songs away to their friends.', 'Tendulkar scored 5, 6 and 7 in the first three matches, being dismissed leg before wicket in all of them, and did not play in the remaining two matches.', 'Bachchan continued to host KBC until 2017.']"
72,73,"['From February to April, Bangladesh, India, and Sri Lanka hosted the 2011 World Cup.', 'Dostana proved to be the top-grossing film of 1980.', 'This led to Bachchan being dubbed as ""angry young man"", a journalistic catchphrase which became a metaphor for the dormant rage, frustration, restlessness, sense of rebellion and anti-establishment disposition of an entire generation, prevalent in 1970s India.', ""Bachchan made his film debut in 1969, as a voice narrator in Mrinal Sen's National Award-winning film Bhuvan Shome."", 'With the exception of the delayed release of Insaniyat (1994), which was also a box office failure, Bachchan did not appear in any new releases for five years.', 'He also demanded they cease work at Twickenham Film Studios, where the sessions had begun, and relocate to the newly finished Apple Studio.', 'He started the series wth scores of 10, 35, 44 and 32.', 'In December 1964, the distributor released the band\'s first single with Jagger/Richards originals on both sides: ""Heart of Stone"", with ""What a Shame"" as the B-side; the single went to No.', 'In 2012, the band celebrated its 50th anniversary.', 'This was his third century at the SCG and his 38th Test century overall, earning him an average of 326 at the ground at the time of completing the innings.']"
73,74,"['For Lennon and Harrison, creativity turned to question when an electronics technician known as Magic Alex suggested that the Maharishi was attempting to manipulate them.', 'He made 15 runs, being bowled by Waqar Younis, who also made his debut in that match, but was noted for how he handled numerous blows to his body at the hands of the Pakistani pace attack.', 'The Bachchan family also bought shares worth $252,000 in Meridian Tech, a consulting company in U.S.', ""The director, Manmohan Desai, altered the ending of Coolie after Bachchan's accident."", 'Ramesh named Tendulkar after his favourite music director, Sachin Dev Burman.', '9 in the US.', 'Two songs (""Waiting on a Friend"" (US No.', '1978 is arguably considered his most successful year at the box office since all of his six releases the same year, namely Muqaddar Ka Sikandar, Trishul, Don, Kasme Vaade, Ganga Ki Saugandh and Besharam were massive successes, the former three being the consecutive highest-grossing films of the year, remarkably releasing within a couple of months of each other, a rare feat in Indian cinema.', 'In the same year he also enjoyed critical acclaim and commercial success with films like Mr. Natwarlal, Kaala Patthar, The Great Gambler and Manzil.', 'The destructive pair reduced one bowler to tears and made the rest of the opposition unwilling to continue the game.']"
74,75,"['Tendulkar fell amid a batting collapse and the match referee, Clive Lloyd, awarded Sri Lanka the match after the crowd began rioting and throwing litter onto the field.', '11 in the US.', 'His performance in Piku, without doubt, finds a place among the top 10 in his illustrious career.""', '1 in the UK, the second-highest opening sales week for an album that year.', 'In 1974, Bachchan made several guest appearances in films such as Kunwara Baap and Dost, before playing a supporting role in Roti Kapda Aur Makaan.', ""In the controversial New Years' Test at Sydney, Tendulkar scored an unbeaten 154, even though India lost the Test."", 'In May 2007, two of his films: the romantic comedy Cheeni Kum and the multi-starrer action drama Shootout at Lokhandwala were released.', 'They have a daughter Sara and a son Arjun whose skills in cricket as a teenager have been receiving attention.', 'Bachchan attempted to revive his acting career, and eventually had commercial success with Bade Miyan Chote Miyan (1998) and Major Saab (1998), and received positive reviews for Sooryavansham (1999), but other films such as Lal Baadshah (1999) and Hindustan Ki Kasam (1999) were box office failures.', ""It aired on 9 February, the exact date of – and at the same time, and on the same network as – the original broadcast of the Beatles' first US television appearance on The Ed Sullivan Show, 50 years earlier.""]"
75,76,"['Nonetheless, his role in the 2002 Gujarat riots continues to attract criticism and controversy.', 'In 2018 he was the third most followed head of the state on Twitter, and the most followed world leader on Facebook and Instagram.', 'Following the success of Some Girls, the band released their next album Emotional Rescue in mid-1980.', ""It included a concert at Chicago's Checkerboard Lounge with Muddy Waters, in one of his last performances before his death in 1983."", 'Meena Iyer of The Times of India wrote, ""The performances are pitch-perfect with Bachchan leading the way.', 'In July and August, the group pursued interests related to similar utopian-based ideology, including a week-long investigation into the possibility of starting an island-based commune off the coast of Greece.', 'From 1965 onwards, they produced increasingly innovative recordings, including the albums Rubber Soul (1965), Revolver (1966) and Sgt.', 'The sessions also produced the Beatles\' longest song yet, ""Hey Jude"", released in August as a non-album single with ""Revolution"".', '...  never did engineer it.', '1 in the US.']"
76,77,"['The construction projects have faced allegations of corruption, and have faced severe difficulty in getting people to use the toilets constructed for them.', 'Because the band\'s songwriting developed slowly, songs on their first album The Rolling Stones (1964; issued in the US as England\'s Newest Hit Makers), were primarily covers, with only one Jagger/Richards original—""Tell Me (You\'re Coming Back)""—and two numbers credited to Nanker Phelge, the pen name used for songs written by the entire group.', ""Harrison and Starr attended the ceremony with Lennon's widow, Yoko Ono, and his two sons, Julian and Sean."", ""Many artists have acknowledged the Beatles' influence and enjoyed chart success with covers of their songs."", 'All of them were successful at the box office.', 'Several BJP leaders expressed opposition to Modi\'s candidature, including BJP founding member L. K. Advani, who cited concern with leaders who were ""concerned with their personal agendas"".', ""Sticky Fingers, released in March 1971, the band's first album on their own label, featured an elaborate cover designed by Andy Warhol."", '3 in the UK and No.', 'Pepper LP followed with a rush-release in May.', 'Joyce Smyth, a lawyer who had long been working for the Stones, took over as their full-time manager in 2010.']"
77,78,"['Bachchan was struggling, seen as a ""failed newcomer"" who, by the age of 30, had twelve flops and only two hits (as a lead in Bombay to Goa and supporting role in Anand).', 'Their commercial success brought increased media exposure, to which the Beatles responded with an irreverent and comical attitude that defied the expectations of pop musicians at the time, inspiring even more interest.', ""The band got three times a new act's typical royalty rate, full artistic control of recordings and ownership of the recording master tapes."", 'Oldham contrasted the Rolling Stones\' independence with the Beatles\' obligation to record in EMI\'s studios, saying it made them appear as ""mere mortals\xa0... sweating in the studio for the man"".', ""Rubber Soul had marked a major step forward; Revolver, released in August 1966 a week before the Beatles' final tour, marked another."", 'Jagger received a three-month prison sentence for the possession of four amphetamine tablets; Richards was found guilty of allowing cannabis to be smoked on his property and sentenced to a year in prison.', 'Attributing the birth of arena rock to the Stones 1969 US tour, The Guardian ranked it 19 on their list of the 50 key events in rock music history.', 'On 5 August 2019, the government moved resolution to scrap Article 370 in the Rajya Sabha, and also reorganize the state with Jammu and Kashmir serving as one of the union territory and Ladakh region separated out as a separate union territory.', 'In November of that year Modi was elected BJP national secretary and transferred to New Delhi, where he assumed responsibility for party activities in Haryana and Himachal Pradesh.', ""United Artists released a full soundtrack album for the North American market, combining Beatles songs and Martin's orchestral score; elsewhere, the group's third studio LP, A Hard Day's Night, contained songs from the film on side one and other new recordings on side two.""]"
78,79,"['In 1987, Harrison\'s Cloud Nine album included ""When We Was Fab"", a song about the Beatlemania era.', 'Meena Iyer of The Times of India wrote, ""The performances are pitch-perfect with Bachchan leading the way.', 'In March 2012, he appeared on the cover of the Asian edition of Time Magazine, one of the few Indian politicians to have done so.', 'The band disagreed, and that year Loewenstein parted from the band after four decades as their manager, later writing the memoir A Prince Among Stones.', ""When the band appeared on the variety show The Hollywood Palace, that week's guest host, Dean Martin, mocked both their hair and their performance."", 'In June of that year, the Rolling Stones released, Totally Stripped, an expanded and reconceived edition of Stripped, in multiple formats.', 'Apple Records released the recordings on 17 December to prevent them from going into the public domain and had them taken down from iTunes later that same day.', ""A new take on the band's lip-and-tongue logo, designed by Shepard Fairey, was also revealed and used during the celebrations."", 'In January 2019, PM Narendra Modi, a biographic film starring Vivek Oberoi as Modi, was announced.', 'Epstein began negotiations with record labels for a recording contract.']"
79,80,"['At this time he became pessimistic, expressing concern with how a new film would be received, and stating before every release, ""Yeh film to flop hogi!""', 'A Granada Television production team filmed the performance, which was broadcast on British television as The Stones in the Park.', 'I\'d sooner lose our appearance money.""', ""Modi's family belonged to the Modh-Ghanchi-Teli (oil-presser) community, which is categorised as an Other Backward Class by the Indian government."", 'Under the Modi government these restrictions were gradually lifted.', 'That year, as well, Starr created Startling Music, which holds the rights to his Beatles compositions, ""Don\'t Pass Me By"" and ""Octopus\'s Garden"".', 'All tracks on the first Rolling Stones album, The Rolling Stones, were recorded there.', '2, was released in January 1965 and reached No.', ""After the group's break-up in 1970, all four members enjoyed success as solo artists."", 'By necessity he joined with booking agent Eric Easton to secure record financing and assistance booking venues.']"
